    PID TTY          TIME CMD
   1802 ?        00:00:00 xdg-document-po
   1812 ?        00:00:00 fusermount3
   1817 ?        00:00:00 xdg-desktop-por
   1818 ?        00:00:00 gvfs-gphoto2-vo
   1824 ?        00:00:00 obexd
   1838 ?        00:00:00 gvfsd-trash
   1839 pts/0    00:00:09 zsh
  10427 ?        00:00:00 kworker/1:2H
  15990 ?        00:00:00 kworker/u10:2-events_unbound
  47556 ?        00:00:00 kworker/u9:0-events_unbound
  54845 ?        00:00:00 systemd-journal
  54857 ?        00:00:00 systemd-logind
  54865 ?        00:00:00 systemd-userdbd
  54869 ?        00:00:00 psimon
  54893 ?        00:00:00 kworker/0:1H-kblockd
  57384 ?        00:00:00 kworker/u9:1-events_unbound
  58466 ?        00:00:00 kworker/1:3-events
  58483 ?        00:00:00 systemd-udevd
  58553 ?        00:00:00 psimon
  58735 ?        00:00:00 kworker/0:1-mm_percpu_wq
  63368 ?        00:00:00 kworker/u10:0
  64619 ?        00:00:00 kworker/0:2-cgroup_free
  65960 ?        00:00:00 kworker/1:1-ata_sff
  68532 ?        00:00:00 kworker/1:0-events
  68837 ?        00:00:00 systemd-userwor
  68838 ?        00:00:00 systemd-userwor
  68839 ?        00:00:00 systemd-userwor
  68851 pts/0    00:00:00 process_logger.
  68852 pts/0    00:00:00 ps
